"KO","taxonomy","Abundance_RPKs"
"K00001","",30.025907407
"K00001","g__Bifidobacterium.s__Bifidobacterium_bifidum",30.025907407
"K00001","g__Bifidobacterium.s__Bifidobacterium_longum",0
"K00001","unclassified",0
"K00002","",41.8831170812
"K00002","g__Blautia.s__Blautia_obeum",41.8831170812
"K00002","g__Blautia.s__Blautia_sp",0
"K00002","g__Blautia.s__Blautia_sp_AF19_10LB",0
"K00002","unclassified",0
"K00003","",791.8286511038
"K00003","g__Alistipes.s__Alistipes_shahii",301.3774985944
"K00003","g__Alistipes.s__Alistipes_timonensis",0
"K00003","g__Anaerostipes.s__Anaerostipes_hadrus",0
"K00003","g__Blautia.s__Blautia_obeum",0
"K00003","g__Blautia.s__Blautia_sp_AF19_10LB",0
"K00003","g__Campylobacter.s__Campylobacter_coli",0
"K00003","g__Cloacibacillus.s__Cloacibacillus_porcorum",0
"K00003","g__Comamonas.s__Comamonas_kerstersii",0
"K00003","g__Coprococcus.s__Coprococcus_eutactus",0
"K00003","g__Eubacterium.s__Eubacterium_eligens",21.4884377103
"K00003","g__Eubacterium.s__Eubacterium_hallii",0
"K00003","g__Lactobacillus.s__Lactobacillus_ruminis",0
"K00003","g__Roseburia.s__Roseburia_intestinalis",0
"K00003","g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum",327.3131774266
"K00003","g__Ruminococcus.s__Ruminococcus_champanellensis",0
"K00003","g__Streptococcus.s__Streptococcus_australis",0
"K00003","g__Streptococcus.s__Streptococcus_gordonii",0
"K00003","g__Streptococcus.s__Streptococcus_parasanguinis",10.5403830997
"K00003","g__Streptococcus.s__Streptococcus_salivarius",0
"K00003","g__Streptococcus.s__Streptococcus_sp_A12",0
"K00003","g__Veillonella.s__Veillonella_dispar",0
"K00003","g__Veillonella.s__Veillonella_infantium",0
"K00003","g__Veillonella.s__Veillonella_parvula",8.7088224438
"K00003","g__Veillonella.s__Veillonella_rogosae",2.6315789474
"K00003","unclassified",119.7687528816
"K00004","",12.1825808235
"K00004","g__Leuconostoc.s__Leuconostoc_garlicum",0
"K00004","g__Leuconostoc.s__Leuconostoc_lactis",0
"K00004","g__Rothia.s__Rothia_mucilaginosa",0
"K00004","g__Victivallales_unclassified.s__Victivallales_bacterium_CCUG_44730",0
"K00004","unclassified",12.1825808235
"K00005","",769.5476869355
"K00005","g__Blautia.s__Ruminococcus_torques",18.1043663472
"K00005","g__Citrobacter.s__Citrobacter_freundii",0
"K00005","g__Citrobacter.s__Citrobacter_portucalensis",0
"K00005","g__Cloacibacillus.s__Cloacibacillus_porcorum",0
"K00005","g__Collinsella.s__Collinsella_aerofaciens",67.9359562939
"K00005","g__Desulfovibrio.s__Desulfovibrio_fairfieldensis",0
"K00005","g__Enterobacter.s__Enterobacter_cloacae",0
"K00005","g__Escherichia.s__Escherichia_coli",0
"K00005","g__Escherichia.s__Escherichia_fergusonii",0
"K00005","g__Eubacterium.s__Eubacterium_hallii",10.5474116658
"K00005","g__Flavonifractor.s__Flavonifractor_plautii",0
"K00005","g__Klebsiella.s__Klebsiella_oxytoca",0
"K00005","g__Pseudocitrobacter.s__Pseudocitrobacter_faecalis",0
"K00005","g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum",516.2639856883
"K00005","g__Ruminococcus.s__Ruminococcus_bicirculans",8.3625903791
"K00005","g__Ruminococcus.s__Ruminococcus_sp_CAG_579",0
"K00005","unclassified",148.3333765612
"K00008","",95.4881675428
"K00008","g__Anaerostipes.s__Anaerostipes_hadrus",0
"K00008","g__Flavonifractor.s__Flavonifractor_plautii",13.5990510447
"K00008","g__Klebsiella.s__Klebsiella_oxytoca",0
"K00008","g__Klebsiella.s__Klebsiella_pneumoniae",0
"K00008","g__Parabacteroides.s__Parabacteroides_distasonis",81.8891164981
"K00008","unclassified",0
"K00009","",50.5389301084
"K00009","g__Anaerostipes.s__Anaerostipes_hadrus",8.0808080808
"K00009","g__Citrobacter.s__Citrobacter_freundii",0
"K00009","g__Citrobacter.s__Citrobacter_portucalensis",0
"K00009","g__Enterobacter.s__Enterobacter_cloacae",0
"K00009","g__Escherichia.s__Escherichia_coli",0
"K00009","g__Escherichia.s__Escherichia_fergusonii",0
"K00009","g__Klebsiella.s__Klebsiella_oxytoca",0
"K00009","g__Klebsiella.s__Klebsiella_pneumoniae",0
"K00009","g__Klebsiella.s__Klebsiella_quasipneumoniae",0
"K00009","g__Klebsiella.s__Klebsiella_variicola",0
"K00009","g__Lactobacillus.s__Lactobacillus_salivarius",0
"K00009","g__Lactococcus.s__Lactococcus_garvieae",0
"K00009","g__Lactococcus.s__Lactococcus_lactis",0
"K00009","g__Lactococcus.s__Lactococcus_petauri",0
"K00009","g__Leclercia.s__Leclercia_adecarboxylata",0
